OverallQual,GrLivArea,BedroomAbvGr,GarageArea,YearBuilt,KitchenQual,SalePrice
6,1096,2,0,1924,TA,79000
5,1040,2,625,1950,TA,109500
8,1968,4,680,2009,Ex,269500
7,1947,3,678,2004,Gd,254900
7,2462,4,576,2005,Gd,320000
6,1232,3,516,1984,TA,162500
9,2668,3,726,2003,Ex,412500
7,1541,3,532,2005,Gd,220000
4,882,1,0,1956,TA,103200
6,1616,3,216,1926,Gd,152000
5,1355,4,0,1940,TA,127500
5,1867,2,303,1955,TA,190000
8,2161,3,789,2007,Ex,325624
7,1720,3,440,2004,Gd,183500
8,1707,2,511,1981,TA,228000
5,1382,2,660,1941,TA,128500
6,1656,3,528,1960,TA,215000
7,1767,2,504,1987,Gd,239000
6,1362,3,504,1961,TA,163000
6,1651,3,616,1986,TA,184000
6,2158,4,576,1950,Gd,243000
6,2060,4,521,1988,TA,211000
5,1920,4,451,1958,Gd,172500
9,2234,1,1166,2008,Ex,501837
5,968,2,480,1923,TA,100000
6,1525,3,440,2000,Gd,177000
7,1802,4,216,1920,TA,200100
5,1340,3,252,1957,TA,120000
7,2082,3,484,2003,Gd,200000
5,1252,3,576,1908,TA,127000
10,3608,4,840,1892,Ex,475000
7,1217,3,497,1990,Gd,173000
5,1656,3,180,1916,TA,135000
5,1224,2,528,1979,TA,153337
8,1593,0,682,2001,Ex,286000
8,2727,3,440,1932,Gd,315000
7,1479,4,484,1972,Gd,184000
7,1431,3,666,1999,Gd,192000
7,1709,3,380,2004,Gd,130000
5,864,3,352,1972,TA,127000
6,1456,3,440,1976,TA,148500
7,1726,3,786,2007,Ex,311872
8,3112,4,795,1918,Gd,235000
6,2229,5,0,1912,TA,104000
8,1713,3,856,2004,Ex,274900
4,1121,2,440,2003,TA,140000
6,1279,3,473,1977,TA,171500
6,1310,2,398,1924,TA,112000
6,848,1,420,2004,Gd,149000
5,1284,2,240,1947,TA,110000
7,1442,3,500,1990,TA,180500
5,1696,3,349,1962,TA,143900
4,1100,3,312,1960,TA,141000
7,2062,3,454,1988,TA,277000
6,1092,3,504,1964,TA,145000
5,864,2,0,1925,TA,98000
6,1212,3,460,2009,Gd,186000
7,1852,3,644,2009,Gd,252678
5,990,3,576,1995,TA,156000
6,1392,3,299,1977,TA,161750
5,1236,2,447,1957,Gd,134450
7,1436,3,484,2004,Gd,210000
4,1328,3,210,1925,TA,107000
7,1954,3,431,1939,Gd,311500
7,1248,2,438,2005,Gd,167240
7,1498,2,675,2006,Gd,204900
6,2267,4,390,2002,Gd,200000
6,1552,3,434,1975,TA,179900
4,864,2,576,1971,TA,97000
10,2392,3,968,2003,Ex,386250
5,1302,3,280,1971,TA,112000
7,2520,4,721,1995,Gd,290000
6,987,2,280,1970,TA,106000
5,912,3,336,1967,TA,125000
7,1555,2,430,2005,Gd,192500
6,1194,3,312,1959,TA,148000
8,2794,4,810,1995,Ex,403000
6,987,2,288,1972,TA,94500
5,894,3,308,1976,TA,128200
6,1960,4,440,2002,Gd,216500
6,987,2,264,1971,TA,89500
7,1414,3,494,2004,Gd,185500
7,1744,3,457,1993,Gd,194500
8,1694,3,818,2007,Gd,318000
6,1487,3,220,1945,TA,113000
8,1566,3,750,2008,Gd,262500
5,866,2,0,1945,Gd,110500
5,1440,3,352,1900,TA,79000
6,1217,3,288,1980,TA,120000
7,2110,3,463,1994,Gd,205000
7,1872,3,604,1988,TA,241500
6,1928,4,440,1910,Fa,137000
6,1375,2,451,1954,TA,140000
7,1668,3,500,2003,Gd,180000
6,2144,4,389,1958,Gd,277000
3,1306,3,0,1940,Fa,76500
8,1625,2,538,2006,Gd,235000
6,1640,3,520,2004,Gd,173000
6,1302,3,309,1964,Gd,158000
5,1314,3,294,1957,TA,145000
7,2291,4,429,1999,Gd,230000
6,1728,3,673,2003,Gd,207500
7,1604,3,660,2006,Gd,220000
7,1792,3,564,2001,Gd,231500
5,882,2,308,1956,TA,97000
6,1382,3,884,1962,TA,176000
8,2574,3,868,2007,Ex,276000
6,1212,3,492,1977,TA,151000
5,1316,3,484,1929,TA,130000
5,764,2,504,1925,TA,73000
6,1422,3,576,1981,Gd,175500
6,1511,3,413,1997,TA,185000
5,2192,4,240,1939,Gd,179500
5,778,2,924,1940,TA,120500
6,1113,3,504,1976,TA,148000
8,1939,3,1053,2006,Gd,266000
7,1363,2,439,1954,TA,241500
8,2270,4,671,1999,Gd,290000
6,1632,3,338,1958,TA,139000
5,816,2,264,1982,TA,124500
7,1548,3,672,1925,Ex,205000
7,1560,3,573,2003,Gd,201000
4,864,2,400,1951,TA,141000
9,2121,3,732,2006,Ex,415298
7,2022,4,505,1977,TA,192000
7,1982,3,575,1989,Gd,228500
6,1262,2,572,2006,Gd,185000
7,1314,2,626,2007,Gd,207500
8,1468,3,898,2008,Gd,244600
6,1575,2,529,1992,Gd,179200
7,1250,2,528,2006,Gd,164700
6,1734,3,440,1962,Gd,159000
4,858,3,0,1971,TA,88000
5,900,3,280,1967,TA,122000
6,1396,3,384,1915,TA,153575
8,1919,3,685,2006,Gd,233230
5,1716,6,0,1912,Fa,135900
5,1716,3,281,1949,TA,131000
7,2263,3,539,1977,Gd,235000
6,1644,3,418,1953,TA,167000
6,1003,3,588,1984,TA,142500
5,1558,4,282,1950,TA,152000
7,1950,3,576,1997,Gd,239000
6,1743,3,539,1968,TA,175000
6,1152,3,300,1950,Gd,158500
5,1336,2,375,1953,TA,157000
8,2452,4,683,1998,Gd,267000
7,1541,3,843,2001,Gd,205000
5,894,3,552,1972,TA,149900
7,3493,3,870,1880,Gd,295000
8,2000,3,888,2004,Gd,305900
7,2243,4,746,1990,Gd,225000
6,1406,3,0,1920,Fa,89500
4,861,1,539,1940,TA,82500
9,1944,3,708,2003,Ex,360000
6,1501,3,420,1993,Gd,165600
6,972,2,240,1948,TA,132000
5,1118,3,410,1939,TA,119900
7,2036,3,513,1965,TA,375000
7,1641,3,546,1925,Ex,178000
7,1432,3,432,2004,Gd,188500
7,2353,4,484,1980,Ex,260000
8,1959,3,1025,2006,Gd,270000
7,2646,4,656,1993,Gd,260000
7,1472,3,588,1980,TA,187500
9,2596,4,840,2006,Gd,342643
8,2468,4,872,2004,Gd,354000
7,2730,4,576,1986,Gd,301000
3,1163,3,220,1955,TA,126175
7,2978,5,564,1967,Gd,242000
5,803,2,360,1941,TA,87000
8,1719,1,473,1993,Gd,324000
6,1383,3,292,1960,TA,145250
6,2134,5,441,1916,Gd,214500
5,1192,3,189,1920,TA,78000
5,1728,6,352,1964,TA,119000
5,1056,3,308,1958,TA,139000
8,1629,3,880,2003,Gd,284000
7,1358,2,484,2004,Gd,207000
6,1638,3,472,1998,TA,192000
5,1786,3,529,1965,TA,228950
9,1922,3,676,2005,Gd,377426
7,1536,3,532,2002,Gd,214000
7,1621,3,440,1984,Gd,202500
6,1215,3,297,1958,TA,155000
8,1908,4,431,2002,Gd,202900
4,841,2,294,1950,TA,82000
3,1040,2,400,1949,TA,87500
9,1684,2,564,2005,Ex,266000
5,1112,3,336,1976,TA,85000
6,1577,3,312,1939,Fa,140200
6,958,2,301,1960,TA,151500
6,1478,3,498,1960,TA,157500
7,1626,2,474,2003,Gd,154000
9,2728,4,706,2005,Ex,437154
9,1869,2,617,2007,Ex,318061
7,1453,2,445,1986,Gd,190000
5,1111,3,200,1941,TA,95000
6,720,2,484,1928,TA,105900
6,1595,2,240,1940,TA,140000
6,1200,3,521,1995,Gd,177500
6,1167,3,400,1992,Gd,173000
5,1142,3,528,1976,TA,134000
5,1352,3,288,1958,Gd,130000
8,1924,3,592,1998,Gd,280000
6,912,2,470,1978,TA,156000
5,1505,3,240,1940,TA,145000
7,1922,4,672,2003,Gd,198500
6,987,2,264,1972,Gd,118000
6,1574,3,566,1976,TA,190000
5,1344,3,468,1920,TA,147000
6,1394,3,514,1963,TA,159000
6,1431,3,296,1962,TA,165000
5,1268,2,244,1954,TA,132000
5,1287,3,576,1959,Gd,162000
6,1664,3,460,2000,TA,172400
4,1588,4,680,1959,TA,134432
6,752,2,264,1984,TA,125000
5,1319,3,270,1953,TA,123000
7,1928,4,434,2003,Gd,219500
1,904,1,0,1922,Fa,61000
5,914,2,576,1996,TA,148000
8,2466,4,610,2004,Gd,340000
9,1856,1,834,2010,Ex,394432
6,1800,3,463,2000,TA,179000
5,1691,3,308,1924,Gd,127000
7,1301,2,572,2006,Gd,187750
7,1797,3,639,2006,Gd,213500
6,784,2,360,1928,TA,76000
6,1953,3,501,1992,Gd,240000
8,1269,2,430,2004,Gd,192000
5,1184,5,0,1910,TA,81000
6,1125,3,352,1976,TA,125000
7,1479,3,577,1999,Gd,191000
10,2332,3,846,2007,Ex,426000
5,1367,4,384,1900,TA,119000
6,1961,3,560,2001,Gd,215000
5,882,3,294,1959,TA,106500
4,788,2,0,1941,TA,100000
5,1034,2,240,1940,TA,109000
5,1144,3,596,1956,TA,129000
5,894,2,600,1972,TA,123000
5,1812,4,264,1962,TA,169500
5,1077,2,338,1920,TA,67000
7,1550,2,438,2006,Gd,241000
8,1288,1,500,1996,Ex,245500
7,1310,3,400,2005,Gd,164990
5,672,2,240,1940,TA,108000
8,2263,4,420,1998,Gd,258000
6,1572,3,373,1995,TA,168000
4,1620,3,490,1976,TA,150000
6,1639,3,240,1936,TA,115000
6,1680,4,308,1915,TA,177000
7,2172,3,947,2006,Gd,280000
8,2078,3,836,2007,Ex,339750
5,1276,3,350,1958,TA,60000
5,1056,3,572,1955,TA,145000
7,1478,2,484,2009,Gd,222000
5,1028,2,360,1927,TA,115000
7,2097,3,678,1993,Gd,228000
7,1340,3,396,2007,Gd,181134
6,1400,3,440,1978,TA,149500
6,2624,4,864,1918,TA,239000
5,1134,3,240,1940,TA,126000
5,1056,3,304,1968,TA,142000
7,1344,2,784,1997,TA,206300
6,1602,3,529,1977,Gd,215000
5,988,2,520,1954,TA,113000
8,2630,4,696,1998,Gd,315000
6,1196,2,297,1956,TA,139000
7,1389,3,240,1946,TA,135000
7,1644,2,569,1989,Gd,275000
4,907,3,352,1957,TA,109008
7,1208,2,628,2007,Gd,195400
6,1412,3,576,1988,Gd,175000
6,987,2,264,1971,TA,85400
6,1198,4,0,1920,TA,79900
5,1365,2,440,1971,TA,122500
6,1604,3,470,1997,TA,181000
4,630,1,0,1972,TA,81000
7,1661,3,550,1996,Gd,212000
6,1118,2,440,1920,TA,116000
6,904,2,180,1926,TA,119000
5,694,2,352,1913,Gd,90350
6,1196,3,528,1920,Gd,110000
10,2402,2,672,2008,Ex,555000
4,1440,4,0,1955,Fa,118000
5,1573,3,360,1930,TA,162900
7,1258,2,648,2006,Gd,172500
7,1908,4,493,1994,Gd,210000
6,1689,3,480,1956,TA,127500
6,1888,2,578,1966,Gd,190000
7,1886,4,431,1998,Gd,199900
6,1376,3,198,1937,TA,119500
3,1183,2,308,1948,TA,120000
6,813,2,270,1930,Gd,110000
7,1533,2,576,1975,Gd,280000
6,1756,3,422,1996,TA,204000
8,1590,3,676,2008,Gd,210000
5,1728,4,560,1976,TA,188000
7,1242,3,528,1973,TA,175500
5,1344,4,513,1916,TA,98000
4,1663,2,529,1954,Gd,256000
8,1666,3,228,1925,Gd,161000
5,1203,3,352,1950,Gd,110000
8,1935,3,552,2009,TA,263435
7,1135,3,576,1936,Gd,155000
5,864,3,360,1965,TA,62383
6,1660,3,240,1934,TA,188700
5,1040,3,0,1978,TA,124000
7,1414,2,398,2004,Gd,178740
7,1277,2,526,1970,TA,167000
5,1644,3,312,1942,Gd,146500
8,1634,3,866,2006,Gd,250000
6,1710,3,506,1993,Gd,187000
8,1502,1,528,1985,Gd,212000
7,1969,3,534,1977,TA,190000
6,1072,2,525,2005,TA,148000
8,1976,2,908,2006,Gd,440000
8,1652,2,499,2000,Ex,251000
5,970,2,624,1963,TA,132500
6,1493,3,508,1997,Gd,208900
9,2643,3,694,2006,Ex,380000
8,1718,3,826,2007,Gd,297000
4,1131,2,672,1937,TA,89471
9,1850,3,772,2004,Gd,326000
9,1792,2,874,2003,Ex,374000
7,1826,4,164,1915,Ex,155000
6,1216,2,402,1998,TA,164000
5,999,3,264,1962,Gd,132500
5,1113,3,264,1950,Gd,147000
5,1073,3,515,1965,TA,156000
5,1484,3,487,1971,TA,175000
5,2414,3,520,1900,TA,160000
4,630,1,286,1970,Gd,86000
5,1304,3,336,1976,TA,115000
6,1578,3,240,1941,Fa,133000
6,1456,3,429,2006,TA,172785
5,1269,3,308,1960,TA,155000
5,886,2,273,1938,TA,91300
4,720,2,0,1920,TA,34900
8,3228,4,546,1992,Gd,430000
7,1820,4,240,1925,TA,184000
5,899,3,288,1967,Gd,130000
5,912,2,297,1958,TA,120000
6,1218,3,264,1973,TA,113000
7,1768,3,603,2005,Gd,226700
5,1214,2,461,1965,TA,140000
7,1801,1,484,1959,TA,289000
6,1322,3,440,1974,TA,147000
5,1960,4,400,1952,TA,124500
8,1911,3,471,1993,Gd,215000
6,1218,2,676,2009,Gd,208300
7,1378,3,360,1928,Gd,161000
5,1041,3,270,1959,TA,124500
5,1363,2,288,1951,TA,164900
7,1368,2,474,2005,Gd,202665
5,864,3,624,1958,TA,129900
6,1080,3,484,1983,TA,134000
5,789,2,200,1926,TA,96500
10,2020,3,900,2009,Ex,402861
6,2119,3,583,1972,TA,158000
7,2344,3,889,1996,Gd,265000
6,1796,3,546,1998,TA,211000
7,2080,3,282,1926,Gd,234000
4,1294,3,0,1900,TA,106250
6,1244,3,336,1957,TA,150000
6,1664,3,420,1947,TA,159000
10,4676,3,884,2007,Ex,184750
7,2398,3,834,1996,Gd,315750
7,1266,3,453,2005,Gd,176000
5,928,2,252,1956,TA,132000
9,2713,3,858,2008,Ex,446261
4,605,2,0,1920,TA,86000
6,2515,4,484,1957,TA,200624
6,1509,3,600,1988,Gd,175000
6,1362,3,502,1920,TA,128000
5,827,2,392,1955,TA,107500
1,334,1,0,1946,Fa,39300
8,1414,3,403,2004,Gd,178000
5,1347,3,0,1910,TA,107500
7,1724,3,527,1998,Gd,188000
4,864,3,576,1972,TA,111250
5,1159,3,336,1968,TA,158000
8,1601,3,670,2001,Gd,272000
9,1838,2,765,2006,Ex,315000
8,2285,4,648,2000,Gd,248000
7,1680,3,583,1998,Gd,213250
7,767,1,367,1998,TA,133000
7,1496,3,426,2006,Gd,179665
7,2183,4,786,1988,Gd,229000
6,1635,3,440,1923,TA,210000
5,768,2,624,1970,TA,129500
5,825,2,720,1955,TA,125000
7,2094,4,615,2003,Gd,263000
6,1069,2,440,1977,TA,140000
5,928,3,288,1957,TA,112500
8,1717,3,908,2006,Gd,255500
4,1126,2,520,1949,Gd,108000
7,2046,3,871,2003,Gd,284000
5,1048,2,280,1922,TA,113000
5,1092,2,299,1957,TA,141000
4,1336,3,570,1920,TA,108000
7,1446,3,406,1996,TA,175000
7,1557,2,420,2003,Gd,234000
5,1392,3,528,1957,TA,121500
5,1389,2,418,1974,TA,170000
5,996,3,0,1940,TA,108000
6,1674,4,396,1918,TA,185000
7,2295,4,590,1992,Gd,268000
6,1647,4,216,1915,Fa,128000
9,2504,4,656,2005,Ex,325000
7,1535,3,532,2004,Gd,214000
8,2132,1,612,1983,Gd,316600
5,943,2,600,1979,TA,135960
5,1728,6,576,1965,TA,142600
6,864,2,288,1959,Gd,120000
7,1692,3,650,2009,Gd,224500
7,1430,3,400,2000,TA,170000
5,1109,3,288,1971,TA,139000
5,1216,2,336,1947,TA,118500
7,1477,3,216,1928,TA,145000
5,1320,3,564,1966,TA,164500
7,1392,2,540,2007,Gd,146000
5,1795,4,352,1954,TA,131500
6,1429,3,572,1960,Gd,181900
8,2042,3,1390,2008,Ex,253293
6,816,3,0,1990,TA,118500
10,2775,3,880,1893,Gd,325000
4,1573,3,240,1935,Gd,133000
8,2028,2,880,2005,Gd,369900
6,838,2,275,1918,Fa,130000
5,860,2,528,1982,TA,137000
5,1473,1,452,1968,Ex,143000
5,935,2,308,1930,TA,79500
7,1582,3,520,2004,Gd,185900
10,2296,3,842,2008,Ex,451950
5,816,2,816,1982,TA,138000
6,848,1,420,2003,Gd,140000
5,924,3,280,1975,TA,110000
8,1826,3,758,2005,Gd,319000
6,1368,3,216,1910,TA,114504
7,1402,2,648,2006,Gd,194201
5,1647,3,621,1977,Gd,217500
6,1556,3,452,1980,TA,151000
8,1904,3,736,2005,Ex,275000
6,1375,3,544,1937,Gd,141000
8,1915,3,506,1992,Gd,220000
7,1200,2,480,2004,Gd,151000
7,1494,3,530,2002,Gd,221000
7,1986,3,486,1965,TA,205000
5,1040,3,576,1996,Gd,152000
5,2008,3,230,1948,Ex,225000
8,3194,4,380,1934,TA,359100
4,1029,3,261,1961,TA,118500
9,2153,3,736,2000,Ex,313000
6,1032,3,564,1978,TA,148000
8,1872,3,531,2001,Ex,261500
5,1120,3,0,2007,TA,147000
4,630,1,0,1972,TA,75500
6,1054,3,480,1963,Gd,137500
6,1509,3,393,2002,Gd,183200
6,832,2,528,1954,Gd,105500
9,1828,3,774,2007,Gd,314813
8,2262,4,749,2003,Gd,305000
3,864,2,0,1914,TA,67000
6,2614,4,624,1974,TA,240000
5,980,3,484,1977,TA,135000
6,1512,2,440,2000,Gd,168500
6,1790,4,484,1972,TA,165150
6,1116,3,440,1962,TA,160000
5,1422,3,286,1960,TA,139900
6,1520,3,364,1955,TA,153000
5,2080,5,504,1969,Fa,135000
6,1350,3,520,1964,TA,168500
5,1750,3,240,1880,Ex,124000
8,1554,2,627,2006,Gd,209500
7,1411,3,544,1977,TA,82500
5,1056,3,260,1954,TA,139400
6,1056,0,576,1980,TA,144000
6,3395,8,0,1914,Fa,200000
2,800,1,0,1936,Fa,60000
5,1387,3,256,1954,Gd,93000
5,796,2,0,1910,TA,85000
8,1567,1,648,2006,Ex,264561
8,1518,1,588,2003,Ex,274000
7,1929,3,650,2001,Gd,226000
8,2704,4,538,1972,Ex,345000
5,1620,4,462,1969,TA,152000
9,1766,2,478,2009,Ex,370878
6,981,3,576,1971,TA,143250
5,1048,3,420,1950,TA,98300
6,1094,3,495,1953,TA,155000
6,1839,4,442,1966,TA,155000
4,630,1,0,1970,TA,84500
7,1665,3,562,2007,Gd,205950
4,1510,4,296,1940,TA,108000
7,1716,2,512,1996,Gd,191000
6,1469,3,216,1906,TA,135000
8,2113,2,839,1995,Gd,350000
6,1092,3,264,1971,TA,88000
5,1053,3,312,1959,Gd,145500
7,1502,3,270,1931,TA,149000
6,1458,3,330,1948,TA,97500
5,1486,3,480,1964,TA,167000
7,1935,3,550,1976,TA,197900
8,2448,4,711,1994,Gd,402000
6,1392,2,576,1968,TA,110000
4,1181,3,588,1972,TA,137500
8,2097,1,1134,2005,Ex,423000
8,1936,3,504,2000,Gd,230500
6,2380,3,596,1965,TA,129000
6,1679,3,575,1994,Gd,193500
5,1437,3,576,1956,TA,168000
4,1180,2,252,1922,Fa,137500
6,1476,3,540,2005,Gd,173500
6,1369,3,300,1925,TA,103600
6,1208,3,546,1977,TA,165000
6,1839,3,416,1957,Gd,257500
6,1136,3,384,1965,TA,140000
6,1441,3,440,1978,TA,148500
4,1774,4,779,1900,TA,87000
5,792,2,240,1924,Gd,109500
8,2046,3,834,2008,Gd,372500
5,988,3,572,1961,TA,128500
6,923,2,264,1980,TA,143000
5,1520,3,281,1932,TA,159434
6,1291,2,431,1996,Gd,173000
9,1668,3,702,2002,Gd,285000
7,1839,4,486,1998,TA,221000
7,2090,3,577,1984,Gd,207500
7,1761,3,578,2007,Gd,227875
7,1102,2,480,2004,Gd,148800
8,1419,2,567,2007,Gd,392000
6,1362,2,460,2005,Gd,194700
6,848,1,420,2004,Gd,141000
10,4316,4,832,1994,Ex,755000
7,2519,4,628,1989,Gd,335000
5,1073,2,326,1921,TA,108480
5,1539,3,576,1936,TA,141500
6,1137,2,551,1987,Gd,176000
5,616,2,205,1921,TA,89000
5,1148,2,308,1952,TA,123500
5,894,3,336,1965,TA,138500
7,1391,2,530,2004,Gd,196000
8,1800,3,765,2002,Gd,312500
7,1164,3,528,1969,TA,140000
8,2576,4,666,2006,Ex,361919
5,1812,4,672,1900,Gd,140000
7,1484,3,606,2004,Gd,213000
4,1092,3,0,1930,Fa,55000
7,1824,2,739,1971,Gd,302000
8,1324,2,550,2006,Gd,254000
7,1456,3,400,2007,Gd,179540
5,904,3,408,1966,TA,109900
3,729,2,0,1935,TA,52000
4,1178,2,384,1900,TA,102776
8,1228,2,472,1988,Gd,189000
4,960,3,576,1970,TA,129000
6,1479,3,475,1976,Gd,130500
6,1350,3,478,1974,TA,165000
7,2554,3,704,1890,TA,159500
5,1178,3,439,1973,Gd,157000
7,2418,3,983,1993,Gd,341000
5,971,3,300,1969,TA,128500
8,1742,2,564,1985,Gd,275000
6,848,1,420,2004,Gd,143000
4,864,3,463,1970,TA,124500
4,1470,4,548,1954,TA,135000
9,1698,3,768,2007,Ex,320000
4,864,3,660,1970,Gd,120500
6,1680,3,540,1988,Gd,222000
7,1232,2,632,2007,Gd,194500
5,1776,4,888,1958,TA,110000
4,1208,2,539,1925,TA,103000
8,1616,2,608,1995,Gd,236500
7,1146,3,438,2003,Gd,187500
7,2031,3,541,1998,Gd,222500
5,1144,3,264,1961,TA,131400
5,948,3,300,1968,TA,108000
7,1768,2,320,1914,TA,163000
3,1040,2,400,1950,TA,93500
8,1801,3,800,2005,Gd,239900
5,1200,3,0,1987,TA,179000
7,1728,3,572,2004,Gd,190000
5,1432,2,360,1910,TA,132000
6,912,3,288,1961,Gd,142000
7,1349,3,539,2000,TA,179000
5,1464,3,480,1963,TA,175000
8,1337,2,462,1993,Gd,180000
8,2715,4,831,1976,Gd,299800
7,2256,4,554,2000,Gd,236000
7,2640,4,864,1880,Gd,265979
7,1720,3,527,1996,Gd,260400
4,1529,4,240,1945,TA,98000
4,1140,3,0,1910,TA,96500
7,1320,3,400,2003,Gd,162000
6,1494,3,576,1997,Gd,217000
8,2098,3,878,2005,Ex,275500
6,1026,3,440,1969,Gd,156000
6,1471,3,440,1999,TA,172500
8,1768,3,578,2007,Gd,212000
